-8,4,2,6
-6,2,4,8
2,-6,8,4
4,-8,6,2
6,2,-4,8
6,-2,4,8
8,4,-2,6
8,-4,2,6
6,2,2,10
10,2,2,6
-8,-4,-2,6
-6,-2,-4,8
-4,-8,-6,2
-4,-8,6,-2
-2,-6,-8,4
-2,-6,8,-4
2,-6,-8,-4
4,-8,-6,-2
-10,2,-2,6
-10,-2,2,6
-6,2,-2,10
-6,-2,2,10
-2,-10,6,2
-2,-6,10,2
2,-6,-10,2
2,-10,-6,2
2,-10,6,-2
2,-6,10,-2
6,-2,-2,10
10,-2,-2,6
-6,2,10,6
-2,6,6,10
2,6,-6,10
2,-6,6,10
6,2,-10,6
6,-10,2,6
6,-2,10,6
10,-6,6,2
-10,2,8,4
-4,8,2,10
2,-10,4,8
4,8,-2,10
4,-8,2,10
8,-4,10,2
10,2,-8,4
10,-2,8,4
-2,-6,-10,-2
-2,-10,-6,-2
8,4,6,10
10,6,4,8
-10,-6,-6,2
-10,-6,6,-2
-6,-2,-10,6
-6,-10,-2,6
-6,-10,2,-6
-2,-6,-6,10
6,-10,-2,-6
10,-6,-6,-2
-10,-2,-8,4
-8,-4,-10,2
-8,-4,10,-2
-4,-8,-2,10
-2,-10,-4,8
-2,-10,4,-8
2,-10,-4,-8
8,-4,-10,-2
2,6,12,8
6,2,8,12
-10,6,-4,8
-10,-6,4,8
-8,4,-6,10
-8,-4,6,10
-6,-10,8,4
-4,-8,10,6
4,-8,-10,6
4,-8,10,-6
6,-10,-8,4
6,-10,8,-4
8,-4,-6,10
10,-6,-4,8
-12,-8,2,6
-8,-12,6,2
-6,2,-8,12
-6,-2,8,12
-2,6,-12,8
-2,-6,12,8
2,-6,-12,8
6,-2,-8,12
8,-12,-6,2
8,-12,6,-2
12,-8,-2,6
12,-8,2,-6
2,10,8,12
10,2,12,8
-6,-10,-8,-4
-4,-8,-10,-6
-12,-8,-2,-6
-8,-12,-6,-2
-12,-8,10,2
-10,2,-12,8
-10,-2,12,8
-8,-12,2,10
-2,10,-8,12
-2,-10,8,12
2,-10,-8,12
8,-12,-2,10
8,-12,2,-10
10,-2,-12,8
12,-8,-10,2
12,-8,10,-2
-12,-8,-10,-2
-8,-12,-2,-10
